No.,Time,Source,Destination,Protocol,Length,Info,Label,Dst_Port,Service_Name,Risk_Level,Risk_Score,Is_High_Risk,Time_Diff,Bytes_Per_Sec
51424,342.94097,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00680699999998069,10858.549297844169
51425,342.94111,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0001399999999875945,312500.00001615303
51426,342.941179,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.8999999996322e-05,443786.982258179
51428,342.943678,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.002499000000000251,28857.252789531653
51448,342.950246,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.006568000000015672,11247.75044988358
51466,342.951938,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.001691999999991367,41852.6785716302
51467,342.952051,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00011299999999891952,352112.67605812417
51468,342.957598,10.5.1.26,212.156.182.77,QUIC,76,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.005547000000035496,13458.473525681296
51481,342.96493,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.007331999999962591,10091.49623255887
51500,342.965227,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00029700000004595495,188916.87655243912
51501,342.965323,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,9.599999998499698e-05,382653.0612537804
51508,342.973119,10.5.1.26,212.156.182.77,QUIC,76,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.007795999999984815,9625.126646421753
51539,342.981191,10.5.1.26,212.156.182.77,QUIC,80,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.008072000000026947,9789.525207995131
51540,342.98129,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,9.89999999774227e-05,376884.4221533117
51541,342.981357,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.700000000137152e-05,449101.79640349734
51548,342.989189,10.5.1.26,212.156.182.77,QUIC,76,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00783200000000761,9581.442259194035
51565,342.990087,10.5.1.26,212.156.182.77,QUIC,74,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0008980000000065047,74148.29659270309
51580,342.991524,10.5.1.26,212.156.182.77,QUIC,74,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0014370000000099026,48145.73845121876
51581,342.991626,10.5.1.26,212.156.182.77,QUIC,74,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00010199999996984843,366336.63371804764
51610,343.000135,10.5.1.26,212.156.182.77,QUIC,74,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.008509000000003653,8595.655709137949
51611,343.000233,10.5.1.26,212.156.182.77,QUIC,74,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,9.799999997994746e-05,373737.3737752242
51620,343.003132,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0028990000000135296,25008.336111924524
51621,343.019252,10.5.1.26,212.156.182.77,QUIC,76,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0161200000000008,4685.573366214319
51651,343.020913,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0016610000000127911,42589.43781911143
51652,343.02103,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00011699999998882049,345622.11983347416
51680,343.033322,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.01229200000000219,6052.291801160971
51681,343.033479,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00015700000000151704,291828.79377259646
51682,343.033555,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,7.59999999786487e-05,426136.36368806
51697,343.047063,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.01350800000000163,5511.463844796518
51698,343.047218,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00015500000000656655,294117.6470512497
51715,343.04777,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0005520000000274194,115030.67484178822
51716,343.051325,10.5.1.26,212.156.182.77,QUIC,76,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.003555000000005748,20793.43365249808
51729,343.055549,10.5.1.26,212.156.182.77,QUIC,80,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0042239999999651445,18501.387604219442
51754,343.057602,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0020529999999894244,34835.113794876175
51755,343.057699,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,9.700000003931564e-05,380710.6598224981
51756,343.057768,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.8999999996322e-05,443786.982258179
51789,343.060313,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.002544999999997799,28355.387523653088
51790,343.060435,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0001219999999761967,337837.83787406154
51791,343.060506,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,7.099999999127249e-05,438596.4912504553
51792,343.060563,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,5.700000002661909e-05,477707.00628843234
51809,343.063801,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.003238000000010288,22468.544038277065
51810,343.063914,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00011299999999891952,352112.67605812417
51811,343.066141,10.5.1.26,212.156.182.77,QUIC,76,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.002227000000004864,32660.077352746517
51836,343.066711,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0005699999999819738,111940.2985104744
51837,343.066805,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,9.399999999004649e-05,386597.938164165
51870,343.069565,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0027600000000234104,26223.77622356157
51871,343.069653,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,8.800000000519503e-05,398936.1702017421
51872,343.069712,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,5.899999996472616e-05,471698.1133121925
51873,343.069765,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,5.300000003671812e-05,490196.07831373153
51903,343.073041,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.003275999999971191,22215.639810616118
51923,343.07315,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00010900000000901855,358851.67462566355
51924,343.073214,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.400000000894579e-05,457317.07314578624
51925,343.073277,10.5.1.26,212.156.182.77,QUIC,80,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.300000001147055e-05,490797.5459777318
51926,343.073422,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0001449999999749707,306122.4490108654
