"No.","Time","Source","Destination","Protocol","Length","Info"
"2274","67.074854","192.178.24.78","10.5.1.26","TLSv1.2","238","Application Data"
"2275","67.074854","192.178.24.78","10.5.1.26","TLSv1.2","85","Application Data"
"2276","67.074854","192.178.24.78","10.5.1.26","TLSv1.2","93","Application Data"
"2277","67.075075","10.5.1.26","192.178.24.78","TCP","54","45484  >  443 [ACK] Seq=15596 Ack=2497 Win=255 Len=0"
"2278","67.086939","192.178.24.42","10.5.1.26","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"2279","67.086939","192.178.24.42","10.5.1.26","TCP","1466","443  >  46717 [PSH, ACK] Seq=1413 Ack=518 Win=269312 Len=1412 [TCP PDU reassembled in 2283]"
"2280","67.086939","192.178.24.42","10.5.1.26","TCP","1466","443  >  46717 [ACK] Seq=2825 Ack=518 Win=269312 Len=1412 [TCP PDU reassembled in 2283]"
"2281","67.086939","192.178.24.42","10.5.1.26","TCP","1466","443  >  46717 [PSH, ACK] Seq=4237 Ack=518 Win=269312 Len=1412 [TCP PDU reassembled in 2283]"
"2282","67.086939","192.178.24.42","10.5.1.26","TCP","1466","443  >  46717 [ACK] Seq=5649 Ack=518 Win=269312 Len=1412 [TCP PDU reassembled in 2283]"
"2283","67.086939","192.178.24.42","10.5.1.26","TLSv1.3","1366","Application Data"
"2284","67.088999","10.5.1.26","192.178.24.42","TLSv1.3","134","Change Cipher Spec, Application Data"
"2285","67.103102","10.5.1.26","192.178.24.78","TLSv1.2","93","Application Data"
"2286","67.105591","10.5.1.26","192.178.24.78","TLSv1.2","89","Application Data"
"2287","67.112386","192.178.24.42","10.5.1.26","TLSv1.3","702","Application Data, Application Data"
"2288","67.132135","192.178.24.78","10.5.1.26","TCP","54","443  >  45484 [ACK] Seq=2497 Ack=15670 Win=9050 Len=0"
"2289","67.153820","10.5.1.26","192.178.24.42","TCP","54","46717  >  443 [ACK] Seq=598 Ack=9021 Win=64768 Len=0"
"2290","67.156086","10.5.1.26","185.201.2.21","TLSv1.2","185","Application Data"
"2291","67.176355","10.5.1.26","192.178.24.42","TLSv1.3","1466","Application Data, Application Data, Application Data"
"2292","67.176355","10.5.1.26","192.178.24.42","TCP","1466","46717  >  443 [ACK] Seq=2010 Ack=9021 Win=64768 Len=1412 [TCP PDU reassembled in 2293]"
"2293","67.176355","10.5.1.26","192.178.24.42","TLSv1.3","1466","Application Data"
"2294","67.176355","10.5.1.26","192.178.24.42","TCP","1466","46717  >  443 [ACK] Seq=4834 Ack=9021 Win=64768 Len=1412 [TCP PDU reassembled in 2295]"
"2295","67.176355","10.5.1.26","192.178.24.42","TLSv1.3","558","Application Data"
"2296","67.176553","10.5.1.26","192.178.24.42","TLSv1.3","85","Application Data"
"2297","67.200269","192.178.24.42","10.5.1.26","TCP","54","443  >  46717 [ACK] Seq=9021 Ack=3422 Win=266496 Len=0"
"2298","67.200269","192.178.24.42","10.5.1.26","TLSv1.3","85","Application Data"
"2299","67.200269","192.178.24.42","10.5.1.26","TCP","54","443  >  46717 [ACK] Seq=9052 Ack=6781 Win=263168 Len=0"
"2300","67.223690","185.201.2.21","10.5.1.26","TLSv1.2","109","Application Data"
"2301","67.223690","185.201.2.21","10.5.1.26","TLSv1.2","200","Application Data"
"2302","67.223690","185.201.2.21","10.5.1.26","TLSv1.2","135","Application Data"
"2303","67.223844","10.5.1.26","185.201.2.21","TCP","54","58045  >  443 [ACK] Seq=681 Ack=949 Win=65535 Len=0"
"2304","67.246102","10.5.1.26","192.178.24.42","TCP","54","46717  >  443 [ACK] Seq=6781 Ack=9052 Win=64768 Len=0"
"2305","67.248861","192.178.24.42","10.5.1.26","TLSv1.3","1350","Application Data"
"2306","67.248861","192.178.24.42","10.5.1.26","TLSv1.3","358","Application Data"
"2307","67.248861","192.178.24.42","10.5.1.26","TLSv1.3","85","Application Data"
"2308","67.248861","192.178.24.42","10.5.1.26","TLSv1.3","93","Application Data"
"2309","67.270515","10.5.1.26","192.178.24.42","TLSv1.3","93","Application Data"
"2310","67.299090","192.178.24.42","10.5.1.26","TCP","54","443  >  46717 [ACK] Seq=10722 Ack=6820 Win=263168 Len=0"
"2311","67.372495","10.5.1.26","176.58.93.147","STUN","82","Binding Request"
"2312","67.375817","10.5.1.26","49.12.193.137","STUN","82","Binding Request"
"2313","67.376075","10.5.1.26","185.40.234.176","STUN","82","Binding Request"
"2314","67.450498","49.12.193.137","10.5.1.26","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 85.106.7.226:41641"
"2315","67.450498","185.40.234.176","10.5.1.26","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 85.105.57.126:41641"
"2316","67.450498","176.58.93.147","10.5.1.26","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 85.105.223.167:41641"
"2317","67.488062","10.5.2.183","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2318","67.504876","10.5.1.26","10.5.0.1","NAT-PMP","44","External Address Request"
"2319","67.505118","10.5.1.26","10.5.0.1","PCP v2","66","Announce Request"
"2320","67.505359","10.5.1.26","10.5.0.1","SSDP","136","M-SEARCH * HTTP/1.1 "
"2321","67.507321","10.5.1.26","10.5.0.1","NAT-PMP","44","External Address Request"
"2322","67.507526","10.5.1.26","10.5.0.1","NAT-PMP","54","Map UDP Request"
"2323","67.522125","10.5.0.1","10.5.1.26","ICMP","72","Destination unreachable (Port unreachable)"
"2324","67.522125","10.5.0.1","10.5.1.26","ICMP","94","Destination unreachable (Port unreachable)"
"2325","67.523492","10.5.0.1","10.5.1.26","ICMP","164","Destination unreachable (Port unreachable)"
"2326","67.523492","10.5.0.1","10.5.1.26","ICMP","72","Destination unreachable (Port unreachable)"
"2327","67.523492","10.5.0.1","10.5.1.26","ICMP","82","Destination unreachable (Port unreachable)"
"2328","67.780393","52.146.136.33","10.5.1.26","TLSv1.2","81","Application Data"
"2329","67.832234","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=8413 Ack=6456 Win=253 Len=0"
"2330","67.930407","172.217.22.234","10.5.1.26","TLSv1.2","335","Application Data"
"2331","67.941519","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"2332","67.941617","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"2333","67.961876","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=1497 Ack=456 Win=618 Len=0"
"2334","67.961876","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=1497 Ack=491 Win=618 Len=0"
"2335","67.983123","10.5.1.26","199.165.136.100","TLSv1.2","541","Application Data"
"2336","68.089868","10.5.1.39","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"2337","68.146797","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"2338","68.189039","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=8138 Ack=2232 Win=251 Len=0"
"2339","68.506213","10.5.2.183","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2340","69.495097","10.5.1.26","146.66.155.84","TLSv1.2","108","Application Data"
"2341","69.530367","10.5.2.183","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2342","69.536950","146.66.155.84","10.5.1.26","TCP","54","27018  >  2868 [ACK] Seq=1 Ack=163 Win=11177 Len=0"
"2343","70.145442","0.0.0.0","255.255.255.255","DHCP","342","DHCP Request  - Transaction ID 0x545d9c10"
"2344","70.145442","10.5.0.1","255.255.255.255","DHCP","342","DHCP ACK      - Transaction ID 0x545d9c10"
"2345","70.340750","10.5.0.172","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"2346","70.553667","10.5.2.183","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2347","70.984379","10.5.1.26","199.165.136.100","TLSv1.2","375","Application Data"
"2348","71.065772","10.5.1.237","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"2349","71.219428","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"2350","71.261419","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=8459 Ack=2329 Win=251 Len=0"
"2353","71.378466","10.5.2.183","10.5.3.255","UDP","86","57621  >  57621 Len=44"
"2356","71.634972","108.132.175.237","10.5.1.26","TLSv1.2","100","Application Data"
"2357","71.677451","10.5.2.168","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2358","71.682454","10.5.1.26","108.132.175.237","TCP","54","27640  >  443 [ACK] Seq=1 Ack=232 Win=253 Len=0"
"2359","72.004739","10.5.1.26","49.12.193.137","TCP","55","[TCP Keep-Alive] 1077  >  443 [ACK] Seq=1 Ack=28 Win=253 Len=1"
"2360","72.148324","49.12.193.137","10.5.1.26","TCP","66","[TCP Keep-Alive ACK] 443  >  1077 [ACK] Seq=28 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"2361","72.192507","10.5.3.252","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"2362","72.192507","10.5.2.36","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2365","72.285237","10.5.3.252","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"2366","72.705092","10.5.2.168","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2367","72.756116","108.132.175.237","10.5.1.26","TCP","54","[TCP Keep-Alive] 443  >  27640 [ACK] Seq=231 Ack=1 Win=8 Len=0"
"2368","72.756217","10.5.1.26","108.132.175.237","TCP","54","[TCP Keep-Alive ACK] 27640  >  443 [ACK] Seq=1 Ack=232 Win=253 Len=0"
"2369","72.874091","104.18.41.41","10.5.1.26","TLSv1.2","703","Application Data"
"2370","72.878729","10.5.1.26","104.18.41.41","TLSv1.2","89","Application Data"
"2371","72.878821","10.5.1.26","104.18.41.41","TLSv1.2","89","Application Data"
"2372","72.891533","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=21253 Ack=30822 Win=473 Len=0"
"2373","72.891533","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=21253 Ack=30857 Win=473 Len=0"
"2374","72.971481","10.5.1.26","104.18.41.41","TCP","1454","21898  >  443 [ACK] Seq=30857 Ack=21253 Win=4091 Len=1400 [TCP PDU reassembled in 2375]"
"2375","72.971481","10.5.1.26","104.18.41.41","TLSv1.2","1325","Application Data"
"2376","72.971784","10.5.1.26","104.18.41.41","TCP","1454","21898  >  443 [ACK] Seq=33528 Ack=21253 Win=4091 Len=1400 [TCP PDU reassembled in 2379]"
"2377","72.971784","10.5.1.26","104.18.41.41","TCP","1454","21898  >  443 [ACK] Seq=34928 Ack=21253 Win=4091 Len=1400 [TCP PDU reassembled in 2379]"
"2378","72.971784","10.5.1.26","104.18.41.41","TCP","1454","21898  >  443 [ACK] Seq=36328 Ack=21253 Win=4091 Len=1400 [TCP PDU reassembled in 2379]"
"2379","72.971784","10.5.1.26","104.18.41.41","TLSv1.2","110","Application Data"
"2383","72.988411","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=21253 Ack=32257 Win=473 Len=0"
"2384","72.988411","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=21253 Ack=33528 Win=474 Len=0"
"2385","72.988411","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=21253 Ack=34928 Win=474 Len=0"
"2386","72.988411","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=21253 Ack=36328 Win=474 Len=0"
"2387","72.989428","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=21253 Ack=37784 Win=475 Len=0"
"2389","72.995462","10.5.1.26","146.75.122.172","TCP","66","46724  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2390","72.999153","146.75.122.172","10.5.1.26","TCP","66","80  >  46724 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=1024"
"2391","72.999334","10.5.1.26","146.75.122.172","TCP","54","46724  >  80 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"2392","73.000448","10.5.1.26","146.75.122.172","HTTP","335","GET /msdownload/update/v3/static/trustedr/en/authrootstl.cab?5e34e2fd3fe17224 HTTP/1.1 "
"2393","73.007094","146.75.122.172","10.5.1.26","TCP","54","80  >  46724 [ACK] Seq=1 Ack=282 Win=16384 Len=0"
"2394","73.051179","172.217.22.234","10.5.1.26","TLSv1.2","178","Application Data"
"2395","73.066974","146.75.122.172","10.5.1.26","TCP","81","80  >  46724 [PSH, ACK] Seq=1 Ack=282 Win=16384 Len=27 [TCP PDU reassembled in 2396]"
"2396","73.066974","146.75.122.172","10.5.1.26","HTTP","343","HTTP/1.0 304 Not Modified "
"2397","73.066974","146.75.122.172","10.5.1.26","TCP","54","80  >  46724 [FIN, ACK] Seq=317 Ack=282 Win=16384 Len=0"
"2398","73.067293","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"2399","73.067519","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"2400","73.067668","10.5.1.26","146.75.122.172","TCP","54","46724  >  80 [ACK] Seq=282 Ack=318 Win=65024 Len=0"
"2401","73.067813","10.5.1.26","146.75.122.172","TCP","54","46724  >  80 [FIN, ACK] Seq=282 Ack=318 Win=65024 Len=0"
"2402","73.085261","146.75.122.172","10.5.1.26","TCP","54","80  >  46724 [ACK] Seq=318 Ack=283 Win=16384 Len=0"
"2403","73.108240","10.5.2.36","10.5.3.255","UDP","86","57621  >  57621 Len=44"
"2404","73.108240","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=1621 Ack=526 Win=618 Len=0"
"2405","73.108240","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=1621 Ack=561 Win=618 Len=0"
"2406","73.147617","104.18.41.41","10.5.1.26","TLSv1.2","285","Application Data"
"2407","73.160023","10.5.1.26","92.38.180.109","TCP","55","[TCP Keep-Alive] 49790  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"2408","73.170529","92.38.180.109","10.5.1.26","TCP","66","[TCP Keep-Alive ACK] 443  >  49790 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"2409","73.191297","10.5.1.26","104.18.41.41","TCP","54","21898  >  443 [ACK] Seq=37784 Ack=21484 Win=4095 Len=0"
"2410","73.206921","10.5.2.36","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2413","73.440732","49.12.193.137","10.5.1.26","TLSv1.2","81","Application Data"
"2414","73.483708","10.5.1.26","49.12.193.137","TCP","54","1077  >  443 [ACK] Seq=2 Ack=55 Win=253 Len=0"
"2415","73.721115","10.5.2.168","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2416","73.985709","10.5.1.26","199.165.136.100","TLSv1.2","393","Application Data"
"2417","74.154373","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"2418","74.200129","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=8798 Ack=2426 Win=250 Len=0"
"2419","74.241122","10.5.2.36","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2424","75.264923","10.5.2.36","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"2427","75.374961","52.146.136.33","10.5.1.26","TLSv1.2","158","Application Data"
"2428","75.429190","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=8413 Ack=6560 Win=253 Len=0"
"2429","75.434189","10.5.1.26","192.178.24.78","UDP","1286","56496  >  443 Len=1244"
"2430","75.434305","10.5.1.26","192.178.24.78","UDP","1292","56496  >  443 Len=1250"
"2431","75.434346","10.5.1.26","192.178.24.78","UDP","1292","56496  >  443 Len=1250"
"2432","75.434375","10.5.1.26","192.178.24.78","UDP","1159","56496  >  443 Len=1117"
"2433","75.457709","192.178.24.78","10.5.1.26","UDP","69","443  >  56496 Len=27"
"2434","75.457709","192.178.24.78","10.5.1.26","UDP","65","443  >  56496 Len=23"
"2435","75.484428","192.178.24.78","10.5.1.26","UDP","66","443  >  56496 Len=24"
"2436","75.484668","10.5.1.26","192.178.24.78","UDP","73","56496  >  443 Len=31"
"2437","75.513771","192.178.24.78","10.5.1.26","UDP","1142","443  >  56496 Len=1100"
"2438","75.513771","192.178.24.78","10.5.1.26","UDP","299","443  >  56496 Len=257"
"2439","75.514042","10.5.1.26","192.178.24.78","UDP","77","56496  >  443 Len=35"
"2440","75.562291","192.178.24.78","10.5.1.26","UDP","66","443  >  56496 Len=24"
"2441","76.998981","10.5.1.26","199.165.136.100","TLSv1.2","375","Application Data"
"2444","77.071108","10.5.1.26","192.200.0.105","TCP","55","[TCP Keep-Alive] 51031  >  443 [ACK] Seq=1 Ack=302 Win=250 Len=1"
"2445","77.124973","192.200.0.105","10.5.1.26","TCP","66","[TCP Keep-Alive ACK] 443  >  51031 [ACK] Seq=302 Ack=2 Win=76 Len=0 SLE=1 SRE=2"
"2446","77.130071","10.5.1.26","212.156.182.144","QUIC","1292","Initial, DCID=cdd4556fd4e3c0bd, PKN: 1, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO"
"2447","77.130264","10.5.1.26","212.156.182.144","QUIC","1292","Initial, DCID=cdd4556fd4e3c0bd, PKN: 2, PING, CRYPTO, CRYPTO, PING, PING, CRYPTO, PING, PING, PADDING, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO"
"2448","77.130436","10.5.1.26","212.156.182.144","QUIC","123","0-RTT, DCID=cdd4556fd4e3c0bd"
"2449","77.140462","212.156.182.144","10.5.1.26","QUIC","82","Initial, SCID=edd4556fd4e3c0bd, PKN: 1, ACK"
"2450","77.141448","212.156.182.144","10.5.1.26","QUIC","1292","Initial, SCID=edd4556fd4e3c0bd, PKN: 2, ACK, PADDING"
"2451","77.141448","212.156.182.144","10.5.1.26","QUIC","1292","Handshake, SCID=edd4556fd4e3c0bd"
"2452","77.141448","212.156.182.144","10.5.1.26","QUIC","1292","Handshake, SCID=edd4556fd4e3c0bd"
"2453","77.141448","212.156.182.144","10.5.1.26","QUIC","1292","Handshake, SCID=edd4556fd4e3c0bd"
"2454","77.141448","212.156.182.144","10.5.1.26","QUIC","1150","Protected Payload (KP0)"
"2455","77.141881","10.5.1.26","212.156.182.144","QUIC","81","Handshake, DCID=edd4556fd4e3c0bd"
"2456","77.142384","10.5.1.26","212.156.182.144","QUIC","208","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2457","77.142614","10.5.1.26","212.156.182.144","QUIC","1288","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2458","77.142709","10.5.1.26","212.156.182.144","QUIC","380","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2459","77.156429","212.156.182.144","10.5.1.26","QUIC","573","Protected Payload (KP0)"
"2460","77.156429","212.156.182.144","10.5.1.26","QUIC","158","Protected Payload (KP0)"
"2461","77.156429","212.156.182.144","10.5.1.26","QUIC","65","Protected Payload (KP0)"
"2462","77.156749","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2463","77.180391","212.156.182.144","10.5.1.26","QUIC","70","Protected Payload (KP0)"
"2464","77.184817","199.165.136.100","10.5.1.26","TCP","54","443  >  49806 [ACK] Seq=2426 Ack=9119 Win=123 Len=0"
"2465","77.209991","10.5.1.26","212.156.182.144","QUIC","74","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2466","77.222164","212.156.182.144","10.5.1.26","QUIC","654","Protected Payload (KP0)"
"2467","77.222695","212.156.182.144","10.5.1.26","QUIC","1288","Protected Payload (KP0)"
"2468","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2469","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2470","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2471","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2472","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2473","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2474","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2475","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2476","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2477","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2478","77.222695","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2479","77.225361","10.5.1.26","212.156.182.144","QUIC","77","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2480","77.225509","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2481","77.225573","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2482","77.225624","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2483","77.225680","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2484","77.225738","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2485","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2486","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2487","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2488","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2489","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2490","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2491","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2492","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2493","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2494","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2495","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2496","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2497","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2498","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2499","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2500","77.229130","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2501","77.229529","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2502","77.229620","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2503","77.229676","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2504","77.229709","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2505","77.229754","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2506","77.229787","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2507","77.229818","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2508","77.229847","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2509","77.230688","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2510","77.230688","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2511","77.230688","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2512","77.230821","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2513","77.230821","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2514","77.230821","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2515","77.230821","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2516","77.230821","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2517","77.230850","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2518","77.230945","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2519","77.230993","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2520","77.231025","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2521","77.231115","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2522","77.231115","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2523","77.231214","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2524","77.232899","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2525","77.232899","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2526","77.232899","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2527","77.232899","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2528","77.233095","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2529","77.233186","10.5.1.26","212.156.182.144","QUIC","78","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2530","77.236687","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2531","77.236687","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2532","77.236687","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2533","77.236687","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2534","77.236687","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2535","77.236687","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2536","77.236920","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2537","77.237019","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2538","77.237095","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
"2539","77.240754","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2540","77.240754","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2541","77.240754","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2542","77.240754","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2543","77.240754","212.156.182.144","10.5.1.26","QUIC","1292","Protected Payload (KP0)"
"2544","77.240754","212.156.182.144","10.5.1.26","QUIC","1026","Protected Payload (KP0)"
"2545","77.240987","10.5.1.26","212.156.182.144","QUIC","73","Protected Payload (KP0), DCID=edd4556fd4e3c0bd"
